record_id,research_date,game_title,publisher,genre,platform,region,target_audience,monetization_model,price_usd,avg_user_rating,review_count,monthly_active_users,units_sold_millions,revenue_m_usd,social_buzz_score,trend_tag,competitor_strength,competitor_weakness,market_positioning,gap_opportunity,data_source,notes
MR-001,2025-12-21,Battle Quest,DragonSoft,Racing,Xbox,Unknown,Teens,Unknown,29.99,4.0,26988,7489144,0.0,98.62,4,Open World,Fast matchmaking,Low social buzz,Indie,More demand for short mobile sessions,Store Rankings,Potential competitor to study
MR-002,2025-06-19,Legend Wars,BlueByte Studios,Action,Switch,Middle East,Competitive,Unknown,4.99,5.0,90285,0,6.46,170.53,81,Cross-Platform,Large player community,Low social buzz,Mass Market,Need offline mode,Focus Group,Possible gap for new title
MR-003,2025-04-22,Cyber Racer,NovaPlay,Racing,PC,Global,Kids,Subscription,39.99,3.7,245658,603967,2.1,73.78,82,Co-op,Frequent updates,Low social buzz,Indie,Gap in affordable premium games,Focus Group,Mixed feedback from players
MR-004,2025-01-28,Dragon Odyssey,ArcForge,Sports,PS5,Global,Competitive,Freemium,9.99,4.1,147279,6271406,10.78,98.93,66,Retro,Easy to learn,Steep learning curve,Mass Market,Market wants creative building tools,Focus Group,Promising but needs validation
MR-005,2025-05-27,Battle Saga,ArcForge,Racing,Xbox Series X,Global,Family,Free to Play,29.99,8.0,77059,1200000,10.52,225.41,14,Live Service,Strong graphics,Steep learning curve,Indie,Need offline mode,Survey,Promising but needs validation
MR-006,2025-03-09,Neon League,ArcForge,Puzzle,Switch,Apac,Hardcore,Premium,19.99,2.5,248357,6144685,0.88,344.7,61,Mobile-First,Low price,Slow updates,Indie,Market wants creative building tools,Competitor Review,Promising but needs validation
MR-007,2025-05-22,Island World,Orbit Games,Sports,Switch,Apac,Hardcore,Free-To-Play,4.99,4.7,60443,65321,7.59,407.47,10,Ai Npcs,Low price,Weak tutorial,Mid-Market,Opportunity for family-friendly co-op,Focus Group,Mixed feedback from players
MR-008,2025-03-14,Neon Clash,FutureFun,Racing,PS5,Eu,Competitive,Premium,59.99,5.7,176638,5425548,4.86,387.79,25,Live Service,Strong graphics,Buggy launch,Niche,Demand for cross-platform saves,Competitor Review,Mixed feedback from players
MR-009,2025-08-05,Hero Dash,PixelPeak,Action,PS5,Apac,Casual,Premium,59.99,9.0,685,2229684,9.43,313.56,72,User Generated Content,Strong graphics,High cost,Niche,Market wants creative building tools,Competitor Review,Strong opportunity if polished
MR-010,2025-11-19,Cyber Rivals,IndieSpark,Simulation,Switch,Global,Hardcore,Subscription,19.99,2.7,156104,7234463,1.48,111.02,80,Retro,Fast matchmaking,Poor mobile controls,Niche,Need stronger accessibility options,Competitor Review,Promising but needs validation
MR-011,2025-09-23,Shadow Odyssey,Orbit Games,Action,Nintendo Switch,Middle East,Competitive,Free-To-Play,19.99,9.8,19324,4248668,11.2,395.71,21,Mobile-First,Large player community,Buggy launch,Premium,More demand for short mobile sessions,Social Listening,Strong opportunity if polished
MR-012,2025-05-06,Rocket Tactics,Orbit Games,Rpg,PS5,Apac,Casual,Premium,19.99,7.4,132609,7599512,0.66,80.5,99,Co-op,Fast matchmaking,Weak story,Budget,Need stronger accessibility options,Forum Scan,Strong opportunity if polished
MR-013,2025-12-05,Mystic Clash,PixelPeak,Rpg,Xbox Series X,Asia-Pacific,Kids,Premium,9.99,2.4,244723,0,2.56,46.53,53,Esports,Strong story,Low social buzz,Niche,More demand for short mobile sessions,Store Rankings,Strong opportunity if polished
MR-014,2025-02-25,Battle Realm,Orbit Games,Puzzle,Nintendo Switch,Global,Casual,Premium,0.0,8.7,214183,2938147,9.55,10.94,43,Mobile-First,Fast matchmaking,Low social buzz,Mass Market,Need better beginner onboarding,Survey,Strong opportunity if polished
MR-015,2025-12-24,Turbo Racer,IndieSpark,Puzzle,PS5,Global,Adults,Premium,39.99,5.5,30435,4841771,0.58,234.11,88,Co-op,Popular streamer support,Weak story,Mass Market,Opportunity for esports tournaments,Social Listening,Mixed feedback from players
MR-016,2025-10-20,Street Saga,FutureFun,Shooter,Xbox,Latin America,Adults,Premium,9.99,3.6,99510,7578281,6.85,375.23,27,Esports,Large player community,Poor mobile controls,Indie,Opportunity for family-friendly co-op,Social Listening,Potential competitor to study
MR-017,2025-10-20,Street World,DragonSoft,Racing,Xbox Series X,Apac,Adults,Premium,19.99,-1.0,160361,615927,10.64,323.34,52,Live Service,Frequent updates,Buggy launch,Indie,Demand for cross-platform saves,Social Listening,Mixed feedback from players
MR-018,2025-04-27,Castle Saga,Orbit Games,Shooter,Switch,Middle East,Adults,Premium,19.99,4.5,116137,6038707,5.15,200.83,61,Mobile-First,Frequent updates,Poor mobile controls,Indie,Need stronger accessibility options,Forum Scan,Promising but needs validation
